doc,w,z,word
0,0,4,fall
0,1,8,enligt
0,2,7,uppgifter
0,3,7,massmedia
0,4,8,föreligger
0,5,1,planer
0,6,8,att
1,7,7,det
1,8,4,arbetet
1,9,6,kunna
1,10,9,använda
1,11,7,olika
1,3,7,massmedia
1,12,2,framför
1,13,0,allt
1,14,4,ett
2,13,3,allt
2,14,7,ett
2,15,7,medium
2,16,3,just
2,17,0,detta
2,18,3,sammanhang
2,19,7,eftersom
3,20,7,när
3,7,7,det
3,21,7,gäller
3,6,1,att
3,3,0,massmedia
3,22,2,beskriva
3,23,8,sveriges
3,24,7,ekonomiska
3,25,7,och
4,26,2,senaste
4,27,5,månaderna
4,28,2,har
4,3,8,massmedia
4,29,2,där
4,30,8,han
4,28,8,har
4,31,2,talat
5,25,7,och
5,14,8,ett
5,32,4,uttalat
5,33,3,intresse
5,34,6,från
5,35,3,massmedias
5,36,3,sida
5,37,9,denna
5,38,3,som
6,39,3,enskilda
6,40,3,företag
6,41,3,utifrån
6,2,2,uppgifter
6,3,0,massmedia
6,42,3,företaget
6,43,3,måste
7,44,2,innebär
7,45,3,problem
7,46,9,för
7,47,0,många
7,3,0,massmedia
7,28,9,har
7,48,0,följt
7,49,2,små
8,50,1,finns
8,51,5,inte
8,52,1,visserligen
8,28,1,har
8,3,9,massmedia
8,53,4,oss
8,54,1,den
8,55,7,ena
9,56,9,tid
9,57,2,cirkulerat
9,11,5,olika
9,58,4,media
9,59,5,därigenom
9,28,1,har
9,54,2,den
9,60,2,allmänna
9,61,1,debatten
10,62,3,sina
10,63,2,frågor
10,64,2,bla
10,2,7,uppgifter
10,3,3,massmedia
11,65,5,pågår
11,66,2,livlig
11,67,2,diskussion
11,3,5,massmedia
11,25,1,och
11,11,1,olika
12,38,9,som
12,3,2,massmedia
12,68,7,utgör
12,7,2,det
12,38,2,som
12,69,7,verkligen
13,45,1,problem
13,28,1,har
13,70,1,nyligen
13,71,8,genom
13,3,1,massmedia
13,72,7,blivit
13,73,7,hur
13,74,7,ofta
14,75,5,tas
14,76,4,tillbaka
14,2,7,uppgifter
14,3,2,massmedia
14,77,8,tyder
14,6,5,att
14,78,6,möjligheten
14,6,4,att
15,79,5,utan
15,80,1,också
15,81,5,press
15,25,3,och
15,3,1,massmedia
15,16,3,just
15,82,5,här
15,83,3,frågorna
16,43,6,måste
16,3,5,massmedia
16,25,6,och
16,25,0,och
16,84,0,diskuteras
17,38,8,som
17,85,8,men
17,86,7,ändå
17,87,7,speglar
17,3,7,massmedia
17,88,8,själva
17,74,9,ofta
17,14,8,ett
18,89,1,sällan
18,3,0,massmedia
18,28,3,har
18,90,9,viktig
18,91,4,uppgift
18,6,4,att
19,6,7,att
19,46,2,för
19,3,2,massmedia
19,92,2,speciellt
19,7,2,det
20,3,3,massmedia
20,12,3,framför
20,13,6,allt
20,54,3,den
20,93,3,största
21,46,8,för
21,94,8,dagen
21,95,8,kommer
21,96,8,fram
21,3,8,massmedia
21,97,2,tycker
21,98,8,jag
21,51,8,inte
21,99,2,man
22,100,7,trots
22,17,2,detta
22,101,2,utvecklas
22,3,2,massmedia
22,102,7,kritik
22,38,7,som
22,103,0,helt
22,104,2,saknar
23,105,6,något
23,106,5,annan
23,107,6,bild
23,54,0,den
23,3,6,massmedia
23,108,6,ger
23,3,5,massmedia
23,99,0,man
24,54,1,den
24,3,6,massmedia
24,108,6,ger
24,3,2,massmedia
24,99,1,man
24,85,1,men
25,109,6,del
25,2,2,uppgifter
25,3,9,massmedia
25,25,6,och
25,98,6,jag
25,28,4,har
25,110,2,tidigare
25,111,9,frågat
26,112,5,tidningar
26,25,7,och
26,113,5,andra
26,3,2,massmedia
26,28,8,har
26,99,5,man
26,114,2,lätt
26,115,8,kunnat
27,92,6,speciellt
27,54,2,den
27,26,2,senaste
27,3,6,massmedia
27,116,6,barn
27,28,9,har
28,117,5,riksdagen
28,118,8,offentlighet
28,119,2,under
28,120,1,massmediernas
28,121,5,bevakning
28,25,8,och
28,119,5,under
28,122,2,ganska
29,6,8,att
29,123,8,beslutet
29,124,4,sker
29,125,1,offentligt
29,6,8,att
