0,1,2,3,4,5,6,7,8,9
passar,natt,liberal,palestina,tränger,dömande,naturvårdsverket,informationsfriheten,citera,synvilla
akut,granskningsarbetet,mediemarknad,tusentals,åldersgrupper,erfarenheter,civilministern,införs,fattar,framställdes
framstå,fisk,folkbildning,attacker,tittare,korta,ämnar,tf,petersson,vände
riktningen,berättigad,stärker,hat,ungdomsbrottsligheten,utforma,beslutat,tryckfrihetsförordningens,fiskesjö,förlorade
syns,tilldragit,civilsamhället,vita,umgänget,offentligheten,fördelat,tryckfrihetens,bertil,sakfrågan
svenskarna,medfört,tystas,begår,ex,insändare,brand,direktiven,talarstolen,juli
fruktansvärt,ämnet,trossamfund,hoten,radios,handeln,datamaskiner,biblioteken,seriöst,redovisades
tyst,genomför,regionalt,förmånen,meningarna,hörd,östra,skrifter,ställde,dagbladet
avvikande,gångna,garant,polarisering,fl,journalistiskt,from,papperstidningarna,adelsohn,ordföranden
sorgligt,anmälningar,jämlikhet,massmediet,anstötliga,sortens,höjningen,funktionshindrade,ö,lämnades
tacksamma,uppsägning,kränkning,mäns,familjens,riksdagsledamöternas,framlägga,medievanor,kloka,försvunnit
nyhet,informerat,fritid,norden,alkoholen,skaffa,tillsätta,grundlagsskyddet,skolministern,persson
hållet,belyser,diktaturer,tortyr,handlande,broschyrer,utlämnande,teknik,vänsterpartiets,lät
uppträder,kvällsöppet,röstar,antisemitiska,ungdomen,meddelarfriheten,luleå,skolbibliotek,skärpa,egendomliga
betalar,hälsan,journalistutbildning,påtalar,allvarligare,tals,vårdnadsbidrag,ägandet,raka,förklarade
undersöka,avspeglas,bosnien,stolt,programverksamhet,statsråden,protestera,skolbiblioteken,statsrådets,läste
synd,reflexioner,pluralism,utlandet,aspekter,privatanställda,indiska,yttrandefrihetsgrundlag,sundström,gick
news,behandlat,servicebolagen,twitter,bjuds,meddelarskydd,uppgår,eböcker,knyta,mitten
tvärtom,vapenexporten,problematiskt,barn,te,ahlmark,branscher,närradion,lundgren,stefan
vården,affärer,central,svarta,avgöranden,genmäle,höjning,uppsjö,anf,danska
