,0,1,2,3,4,5,6,7,8,9
1920-1929,1,3,8,0,4,0,0,0,0,0
1930-1939,11,6,3,0,0,2,4,2,0,2
1940-1949,0,0,0,0,0,0,0,0,0,0
1950-1959,4,4,6,8,4,10,1,10,4,1
1960-1969,687,301,473,401,422,271,384,446,808,261
1970-1979,918,613,716,854,1052,474,846,690,1049,402
1980-1989,825,693,850,829,1076,601,966,789,891,459
1990-1999,675,921,923,669,716,737,761,988,637,683
2000-2009,366,691,779,315,402,679,434,652,377,808
2010-2019,371,574,643,355,514,1120,442,552,293,843
2020-2029,5,17,7,5,20,34,3,11,2,15
Total,3863,3823,4408,3436,4210,3928,3841,4140,4061,3474
