doc,w,target,pos,year,mop_id,file_path
0,fråga handelsministern om regeringen uppmärksammat förhållandet och vad regeringen avser att vidtaga för åtgärder i så fall enligt uppgifter i massmedia föreligger planer att sprit från sverige med tanke på att enligt är ett av största problem,massmedia,20,1979,alexander_chrisopoulos_55fd45,../riksdagen-corpus/corpus/197980/prot-197980--11.xml
1,genom vilka man kan hjälpa människor att ta till vara olika man borde i det arbetet kunna använda olika massmedia framför allt tv är ett utmärkt medium just i detta sammanhang eftersom man där för människor kan visa upp,massmedia,19,1979,unknown,../riksdagen-corpus/corpus/197980/prot-197980--39.xml
2,ta till vara olika man borde i det arbetet kunna använda olika massmedia framför allt tv är ett utmärkt medium just i detta sammanhang eftersom man där för människor kan visa upp av vilka en del är,medium,19,1979,unknown,../riksdagen-corpus/corpus/197980/prot-197980--39.xml
3,i en rad på en rad han har verkligen inte visat någon återhållsamhet när det gäller att i massmedia beskriva sveriges ekonomiska framtid och att de som måste ta men för att en möjlighet skall skapas,massmedia,18,1979,unknown,../riksdagen-corpus/corpus/197980/prot-197980--38.xml
4,som skall ta stämmer inte ett dugg med den som han under de senaste månaderna har i massmedia där han har talat om att vi nu måste angripa k måste minska och det berör,massmedia,17,1979,unknown,../riksdagen-corpus/corpus/197980/prot-197980--38.xml
5,till dess pågår det är inte möjligt att även om det finns ett och ett uttalat intresse från massmedias sida i denna process som kräver och som kräver förhandlingar och kontakter åt olika håll m m göra en,massmedias,18,1979,lilly_hansson_1b3f79,../riksdagen-corpus/corpus/197980/prot-197980--158.xml
6,inte skall låta oss eller att föra en debatt här i kammaren om enskilda företag utifrån uppgifter i massmedia företaget måste få en rimlig chans att samla sig till ett avgörande förslag i företagets styrelse sitter ju också de,massmedia,18,1979,lilly_hansson_1b3f79,../riksdagen-corpus/corpus/197980/prot-197980--158.xml
7,på propositionens förslag så är fallet beträffande frågan om i landskrona beslutet i dag innebär problem för många orter massmedia har noga följt utskottsbehandlingen små orter har ställts mot stora norr mot söder låt mig bara när det gäller,massmedia,19,1979,per_westerberg_336474,../riksdagen-corpus/corpus/197980/prot-197980--164.xml
8,landskrona så hade detta medfört att en nedläggning av lättare kunnat accepteras några sådana anvisningar finns inte visserligen har massmedia informerat oss om den ena tänkbara efter den andra det har förekommit nog så sensationella uppgifter om t ex,massmedia,19,1979,johan_a_olsson_ddb90e,../riksdagen-corpus/corpus/197980/prot-197980--164.xml
9,bli dels en dels några reflexioner om och kring en del påståenden som under en tid cirkulerat i olika media därigenom har den allmänna debatten kring detta har i sig varit beklagligt för andra varv och med,media,19,1979,sven_munke_8b173c,../riksdagen-corpus/corpus/197980/prot-197980--164.xml
10,för att klara upp de vi oss olof palme har som utgångspunkt för sina frågor bla uppgifter i massmedia om s k hemliga regeringen har inte några sådana i regeringskansliet pågår just nu ett arbete med,massmedia,18,1979,olof_palme_3e06b6,../riksdagen-corpus/corpus/197980/prot-197980--167.xml
