doc,w,target,pos,year,mop_id,file_path
0,att för åtgärder i så fall enligt uppgifter i massmedia föreligger planer att sprit från sverige med tanke på,massmedia,9,1979,alexander_chrisopoulos_55fd45,../riksdagen-corpus/corpus/197980/prot-197980--11.xml
1,olika man borde i det arbetet kunna använda olika massmedia framför allt tv är ett utmärkt medium just i detta,massmedia,9,1979,unknown,../riksdagen-corpus/corpus/197980/prot-197980--39.xml
2,kunna använda olika massmedia framför allt tv är ett utmärkt medium just i detta sammanhang eftersom man där för människor kan,medium,10,1979,unknown,../riksdagen-corpus/corpus/197980/prot-197980--39.xml
3,verkligen inte visat någon när det gäller att i massmedia beskriva sveriges ekonomiska framtid och att de som,massmedia,9,1979,unknown,../riksdagen-corpus/corpus/197980/prot-197980--38.xml
4,som han under de senaste månaderna har i massmedia där han har talat om att vi nu måste angripa,massmedia,8,1979,unknown,../riksdagen-corpus/corpus/197980/prot-197980--38.xml
5,om det finns ett och ett uttalat intresse från massmedias sida i denna process som kräver och som kräver,massmedias,9,1979,lilly_hansson_1b3f79,../riksdagen-corpus/corpus/197980/prot-197980--158.xml
6,debatt här i kammaren om enskilda företag utifrån uppgifter i massmedia företaget måste få en rimlig chans att samla sig till,massmedia,10,1979,lilly_hansson_1b3f79,../riksdagen-corpus/corpus/197980/prot-197980--158.xml
7,i beslutet i dag innebär problem för många orter massmedia har noga följt små orter har ställts mot stora,massmedia,9,1979,per_westerberg_336474,../riksdagen-corpus/corpus/197980/prot-197980--164.xml
8,lättare kunnat några sådana finns inte visserligen har massmedia informerat oss om den ena tänkbara efter den andra,massmedia,8,1979,johan_a_olsson_ddb90e,../riksdagen-corpus/corpus/197980/prot-197980--164.xml
9,en del påståenden som under en tid cirkulerat i olika media därigenom har den allmänna debatten kring detta har,media,10,1979,sven_munke_8b173c,../riksdagen-corpus/corpus/197980/prot-197980--164.xml
