,0,1,2,3,4,5,6,7,8,9
1920-1929,0,0,0,0,0,0,0,0,0,0
1930-1939,0,0,0,0,0,0,0,0,0,0
1940-1949,0,0,0,0,0,0,0,0,0,0
1950-1959,7,9,32,10,4,8,8,10,22,2
1960-1969,297,331,728,454,556,663,307,448,1720,619
1970-1979,947,703,1522,1202,1272,1210,575,788,1807,1465
1980-1989,1476,746,1261,1345,1546,1259,598,966,1162,1297
1990-1999,753,769,808,944,779,774,770,916,588,850
2000-2009,478,1074,652,699,438,635,1249,1226,491,659
2010-2019,298,681,304,269,216,293,873,480,146,369
2020-2029,12,14,30,37,19,7,58,16,8,14
Total,4268,4327,5337,4960,4830,4849,4438,4850,5944,5275
