0,1,2,3,4,5,6,7,8,9
bör,sverige,fråga,borde,regeringen,väldigt,fall,fråga,regeringen,fråga
nya,människor,problem,tv,avser,ändå,sverige,fall,sverige,kammaren
stöd,både,människor,sveriges,åtgärder,naturligtvis,människor,borde,frågan,frågan
talman,kvinnor,intresse,t,uppgifter,tycker,senaste,möjlighet,år,debatten
mänskliga,nya,debatt,ex,förslag,hoppas,debatt,föra,nya,frågor
rättigheter,barn,kammaren,bör,frågan,tidningar,enskilda,enskilda,fortfarande,statsrådet
hela,sker,kring,utsträckning,innebär,ganska,frågan,bör,svenska,sett
samhälle,svenska,debatten,sätt,uppgift,ser,förekommit,naturligtvis,ganska,tycker
samhället,ser,frågor,särskilt,anser,talar,tid,svårt,gång,herr
frihet,politiker,hos,information,utskottet,händer,debatten,sätt,statsministern,talman
yttrandefriheten,via,både,möjligheter,riksdagen,står,år,pressen,tog,via
fria,information,bild,ansvar,vissa,se,både,se,svensk,ställa
demokratiska,exempel,riksdagen,område,allmänheten,fel,sett,nämligen,hela,vilja
demokratin,våld,politiska,radio,information,vet,trots,ge,veckor,vet
kultur,världen,allmänheten,samhället,bl,behöver,svenska,huvud,kronor,nämligen
fru,länder,politiker,roll,a,tror,tiden,taget,folket,tror
demokrati,sociala,uppmärksamhet,program,regeringens,saker,exempel,personer,miljoner,faktiskt
service,ungdomar,grad,betydelse,bakgrund,faktiskt,uppmärksamhet,hjälp,socialdemokratiska,svar
oberoende,samtidigt,alltför,film,anledning,klart,uppmärksammats,klart,gav,svaret
public,internet,riksdagens,påverkan,utredning,handlar,åren,tänka,gällde,fru
