,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1920-1929,0.015,0.247,0.023,0.131,0.014,0.01,0.007,0.045,0.019,0.026,0.143,0.15,0.02,0.01,0.004,0.034,0.041,0.042,0.004,0.013
1930-1939,0.015,0.194,0.025,0.129,0.014,0.01,0.008,0.048,0.02,0.026,0.175,0.143,0.031,0.012,0.005,0.032,0.047,0.046,0.005,0.013
1940-1949,0.024,0.178,0.032,0.137,0.017,0.013,0.01,0.059,0.032,0.024,0.133,0.116,0.048,0.017,0.004,0.033,0.045,0.053,0.006,0.019
1950-1959,0.025,0.114,0.041,0.155,0.035,0.011,0.01,0.071,0.043,0.032,0.071,0.114,0.067,0.02,0.006,0.037,0.054,0.069,0.006,0.018
1960-1969,0.031,0.074,0.052,0.127,0.057,0.015,0.017,0.072,0.084,0.024,0.039,0.081,0.051,0.032,0.013,0.039,0.068,0.079,0.01,0.036
1970-1979,0.026,0.043,0.076,0.098,0.05,0.026,0.027,0.077,0.103,0.024,0.019,0.049,0.04,0.048,0.015,0.044,0.091,0.081,0.015,0.048
1980-1989,0.033,0.03,0.09,0.08,0.052,0.034,0.04,0.074,0.077,0.022,0.014,0.026,0.042,0.052,0.015,0.054,0.115,0.071,0.022,0.056
1990-1999,0.033,0.018,0.082,0.077,0.036,0.037,0.058,0.082,0.039,0.017,0.01,0.019,0.023,0.065,0.028,0.053,0.178,0.063,0.028,0.053
2000-2009,0.032,0.015,0.054,0.056,0.028,0.058,0.097,0.064,0.027,0.012,0.008,0.015,0.019,0.043,0.025,0.06,0.233,0.054,0.041,0.058
2010-2019,0.034,0.015,0.06,0.046,0.014,0.077,0.123,0.062,0.022,0.01,0.009,0.012,0.016,0.03,0.018,0.064,0.227,0.049,0.045,0.066
2020-2029,0.036,0.011,0.076,0.022,0.009,0.121,0.071,0.049,0.017,0.009,0.004,0.011,0.008,0.037,0.008,0.031,0.244,0.042,0.1,0.094
Total,0.028,0.086,0.056,0.096,0.03,0.037,0.043,0.064,0.044,0.021,0.057,0.067,0.033,0.033,0.013,0.044,0.122,0.059,0.026,0.043
