,0,1,2,3,4,5,6,7,8,9
1920-1929,632,245,1,2,2,38,3,3,147,19
1930-1939,635,598,0,8,3,51,5,5,207,23
1940-1949,601,604,9,15,14,46,16,32,159,32
1950-1959,370,383,18,10,7,77,30,40,155,17
1960-1969,436,393,81,92,106,261,143,126,228,73
1970-1979,213,223,199,211,270,314,371,254,143,123
1980-1989,103,141,200,188,196,203,214,161,56,108
1990-1999,65,56,333,327,244,183,231,226,61,147
2000-2009,64,36,530,393,310,176,160,220,30,166
2010-2019,27,22,551,287,234,108,115,137,15,128
2020-2029,0,0,3,0,1,0,0,0,0,1
Total,3146,2701,1925,1533,1387,1457,1288,1204,1201,837
