,0,1,2,3,4,5,6,7,8,9
1920-1929,1177,5,554,9,78,8,9,13,600,537
1930-1939,1218,7,1210,7,101,6,13,23,681,577
1940-1949,1279,47,1222,33,115,37,52,91,520,413
1950-1959,1117,65,1107,38,144,41,46,130,689,432
1960-1969,1347,404,1041,342,454,271,317,333,734,620
1970-1979,891,1030,586,795,794,693,682,661,379,433
1980-1989,396,890,336,702,629,637,633,592,211,238
1990-1999,168,890,153,751,676,635,616,632,123,195
2000-2009,112,978,98,872,697,688,695,624,88,107
2010-2019,55,773,111,741,576,576,602,473,39,79
2020-2029,0,15,0,16,9,4,6,11,1,2
Total,7760,5104,6418,4306,4273,3596,3671,3583,4065,3633
