doc,w,target,pos,year,mop_id,file_path,lemmas,gender,party_abbrev,z
0,så fall enligt uppgifter i massmedia föreligger planer att exportera sprit,massmedia,5,1979,alexander_chrisopoulos_55fd45,../riksdagen-corpus/corpus/197980/prot-197980--11.xml,mass,man,V,2
1,det arbetet kunna använda olika massmedia framför allt tv är ett,massmedia,5,1979,unknown,../riksdagen-corpus/corpus/197980/prot-197980--39.xml,mass,,,4
2,allt tv är ett utmärkt medium just i detta sammanhang eftersom,medium,5,1979,unknown,../riksdagen-corpus/corpus/197980/prot-197980--39.xml,medi,,,3
3,när det gäller att i massmedia beskriva sveriges ekonomiska framtid och,massmedia,5,1979,unknown,../riksdagen-corpus/corpus/197980/prot-197980--38.xml,mass,,,1
4,senaste månaderna har bedrivit i massmedia där han har talat om,massmedia,5,1979,unknown,../riksdagen-corpus/corpus/197980/prot-197980--38.xml,mass,,,2
5,och ett uttalat intresse från massmedias sida i denna process som,massmedias,5,1979,lilly_hansson_1b3f79,../riksdagen-corpus/corpus/197980/prot-197980--158.xml,mass,woman,S,4
6,enskilda företag utifrån uppgifter i massmedia företaget måste få en rimlig,massmedia,5,1979,lilly_hansson_1b3f79,../riksdagen-corpus/corpus/197980/prot-197980--158.xml,mass,woman,S,4
7,innebär problem för många orter massmedia har noga följt utskottsbehandlingen små,massmedia,5,1979,per_westerberg_336474,../riksdagen-corpus/corpus/197980/prot-197980--164.xml,mass,man,M,2
8,anvisningar finns inte visserligen har massmedia informerat oss om den ena,massmedia,5,1979,johan_a_olsson_ddb90e,../riksdagen-corpus/corpus/197980/prot-197980--164.xml,mass,man,C,1
9,en tid cirkulerat i olika media därigenom har den allmänna debatten,media,5,1979,sven_munke_8b173c,../riksdagen-corpus/corpus/197980/prot-197980--164.xml,medi,man,M,3
10,sina frågor bla uppgifter i massmedia om s k hemliga besparingslistor,massmedia,5,1979,olof_palme_3e06b6,../riksdagen-corpus/corpus/197980/prot-197980--167.xml,mass,man,S,1
11,pågår en livlig diskussion i massmedia och i olika livsmedelstidskrifter om,massmedia,5,1979,filip_johansson_6b5811,../riksdagen-corpus/corpus/197980/prot-197980--163.xml,mass,man,C,2
12,väldiga maktkombinat som de borgerligas massmedia utgör det som verkligen binder,massmedia,5,1979,lars_werner_277fe8,../riksdagen-corpus/corpus/197980/prot-197980--17.xml,mass,man,V,3
13,problem vi har nyligen genom massmedia blivit informerade om hur ofta,massmedia,5,1979,olof_johansson_minister_1979,../riksdagen-corpus/corpus/197980/prot-197980--17.xml,mass,,,4
14,anmälan tas tillbaka uppgifter i massmedia tyder på att möjligheten att,massmedia,5,1979,olof_johansson_minister_1979,../riksdagen-corpus/corpus/197980/prot-197980--17.xml,mass,,,4
15,utan också i press och massmedia just om de här frågorna,massmedia,5,1979,ingvar_svanberg_9b9ead,../riksdagen-corpus/corpus/197980/prot-197980--162.xml,mass,man,S,4
16,nämnden måste få kommenteras av massmedia och nå ut och diskuteras,massmedia,5,1979,marie-ann_johansson_50d66a,../riksdagen-corpus/corpus/197980/prot-197980--148.xml,mass,woman,V,1
17,som manliga men ändå speglar massmedia själva ofta ett traditionellt könsrollsmönster,massmedia,5,1979,marie-ann_johansson_50d66a,../riksdagen-corpus/corpus/197980/prot-197980--148.xml,mass,woman,V,1
18,kvinna sällan anförtros en avancemangspost massmedia har en viktig uppgift att,massmedia,5,1979,marie-ann_johansson_50d66a,../riksdagen-corpus/corpus/197980/prot-197980--148.xml,mass,woman,V,4
19,att de framsynta representanterna för massmedia är speciellt vaksamma på det,massmedia,5,1979,marie-ann_johansson_50d66a,../riksdagen-corpus/corpus/197980/prot-197980--148.xml,mass,woman,V,3
20,rida på en opinionsvåg i massmedia framför allt i den största,massmedia,5,1979,inga_lantz_295cb8,../riksdagen-corpus/corpus/197980/prot-197980--160.xml,mass,woman,V,1
