,0,1,2,3,4,5,6,7,8,9
1920-1929,1133,11,9,566,8,139,12,625,11,476
1930-1939,1174,2,13,1227,6,149,11,688,19,554
1940-1949,1208,29,36,1222,50,152,55,538,95,424
1950-1959,1023,42,64,1118,40,231,50,591,120,530
1960-1969,1239,359,351,1051,281,648,304,689,371,570
1970-1979,775,822,829,587,772,985,744,434,686,310
1980-1989,365,760,767,339,733,728,657,208,556,151
1990-1999,158,868,813,157,769,565,735,145,535,94
2000-2009,102,1021,990,100,853,531,661,80,539,82
2010-2019,48,863,974,110,632,362,529,52,426,29
2020-2029,1,15,18,0,8,4,9,2,7,0
Total,7226,4792,4864,6477,4152,4494,3767,4052,3365,3220
