,0,1,2,3,4,5,6,7,8,9
1920-1929,15,9,9,0,7,3,11,0,8,0
1930-1939,43,2,12,1,5,4,10,0,17,2
1940-1949,171,29,36,1,48,24,54,0,93,5
1950-1959,205,42,62,0,40,51,49,1,118,7
1960-1969,339,358,351,1,279,353,302,14,371,12
1970-1979,231,821,829,2,771,807,743,16,684,14
1980-1989,87,760,767,1,732,625,657,10,553,7
1990-1999,35,868,812,0,768,505,735,10,535,2
2000-2009,14,1021,990,0,853,501,661,12,539,1
2010-2019,6,863,974,0,632,347,529,9,425,3
2020-2029,0,15,18,0,8,4,9,0,7,0
Total,1146,4788,4860,6,4143,3224,3760,72,3350,53
