doc,w,z,word
0,0,4,att
0,1,4,för
0,2,1,åtgärder
0,3,4,fall
0,4,4,enligt
0,5,0,uppgifter
0,6,4,massmedia
0,7,4,föreligger
0,8,3,planer
0,0,4,att
0,9,3,sprit
0,10,3,från
0,11,3,sverige
0,12,4,med
0,13,3,tanke
1,14,0,olika
1,15,0,man
1,16,0,borde
1,17,3,det
1,18,2,arbetet
1,19,1,kunna
1,20,3,använda
1,14,0,olika
1,6,1,massmedia
1,21,1,framför
1,22,1,allt
1,23,1,ett
1,24,0,utmärkt
1,25,4,medium
1,26,0,just
1,27,4,detta
2,19,0,kunna
2,20,0,använda
2,14,0,olika
2,6,1,massmedia
2,21,3,framför
2,22,0,allt
2,23,0,ett
2,24,0,utmärkt
2,25,0,medium
2,26,0,just
2,27,0,detta
2,28,0,sammanhang
2,29,3,eftersom
2,15,3,man
2,30,0,där
2,1,0,för
2,31,1,människor
2,32,0,kan
3,33,0,verkligen
3,34,0,inte
3,35,0,visat
3,36,0,någon
3,37,0,när
3,17,3,det
3,38,0,gäller
3,0,0,att
3,6,0,massmedia
3,39,0,beskriva
3,40,0,sveriges
3,41,0,ekonomiska
3,42,0,framtid
3,43,0,och
3,0,0,att
3,44,1,som
4,44,4,som
4,45,4,han
4,46,4,under
4,47,4,senaste
4,48,4,månaderna
4,49,4,har
4,6,4,massmedia
4,30,4,där
4,45,4,han
4,49,4,har
4,50,4,talat
4,0,3,att
4,51,4,måste
4,52,4,angripa
5,17,3,det
5,53,0,finns
5,23,0,ett
5,43,4,och
5,23,0,ett
5,54,3,uttalat
5,55,0,intresse
5,10,0,från
5,56,0,massmedias
5,57,1,sida
5,58,2,denna
5,59,0,process
5,44,0,som
5,60,0,kräver
5,43,3,och
5,44,2,som
5,60,3,kräver
6,61,2,debatt
6,62,3,här
6,63,0,kammaren
6,64,0,enskilda
6,65,2,företag
6,66,0,utifrån
6,5,3,uppgifter
6,6,0,massmedia
6,67,3,företaget
6,51,4,måste
6,68,0,rimlig
6,69,1,chans
6,0,0,att
6,70,0,samla
6,71,0,sig
6,72,0,till
7,73,1,beslutet
7,74,2,dag
7,75,1,innebär
7,76,1,problem
7,1,1,för
7,77,2,många
7,78,1,orter
7,6,1,massmedia
7,49,4,har
7,79,2,noga
7,80,2,följt
7,81,2,små
7,78,2,orter
7,49,1,har
7,82,1,ställts
7,83,1,mot
7,84,1,stora
8,85,2,lättare
8,86,2,kunnat
8,87,0,några
8,88,0,sådana
8,53,2,finns
8,34,1,inte
8,89,2,visserligen
8,49,0,har
8,6,1,massmedia
8,90,0,informerat
8,91,0,oss
8,92,2,den
8,93,2,ena
8,94,1,tänkbara
8,95,2,efter
8,92,2,den
8,96,0,andra
9,97,1,del
9,98,1,påståenden
9,44,2,som
9,46,1,under
9,99,2,tid
9,100,4,cirkulerat
9,14,4,olika
9,101,1,media
9,102,4,därigenom
9,49,3,har
9,92,2,den
9,103,1,allmänna
9,104,1,debatten
9,105,1,kring
9,27,2,detta
9,49,4,har
10,106,1,palme
10,49,1,har
10,44,1,som
10,107,3,utgångspunkt
10,1,1,för
10,108,0,sina
10,109,3,frågor
10,110,1,bla
10,5,1,uppgifter
10,6,1,massmedia
10,111,1,hemliga
10,112,1,regeringen
10,49,1,har
10,34,1,inte
10,87,1,några
11,72,4,till
11,113,4,sedan
11,114,4,flera
11,115,4,tillbaka
11,116,3,pågår
11,117,4,livlig
11,118,4,diskussion
11,6,4,massmedia
11,43,4,och
11,14,4,olika
11,119,4,vår
11,43,4,och
12,120,3,borgerliga
12,121,3,partierna
12,43,3,och
12,17,4,det
12,122,4,väldiga
12,44,3,som
12,6,3,massmedia
12,123,4,utgör
12,17,3,det
12,44,3,som
12,33,4,verkligen
12,120,4,borgerliga
12,121,3,partierna
12,124,3,samman
13,125,0,mer
13,126,0,eller
13,127,0,mindre
13,128,0,väl
13,76,0,problem
13,49,0,har
13,129,0,nyligen
13,130,0,genom
13,6,0,massmedia
13,131,0,blivit
13,132,0,informerade
13,133,0,hur
13,134,0,ofta
13,17,0,det
13,135,0,förekommer
13,136,0,kvinnor
14,137,3,även
14,138,0,tas
14,115,3,tillbaka
14,5,3,uppgifter
14,6,3,massmedia
14,139,0,tyder
14,0,2,att
14,140,3,möjligheten
14,0,1,att
14,141,3,vid
14,142,3,särskilda
14,143,0,behov
14,144,1,låta
14,145,0,elever
15,34,0,inte
15,146,0,bara
15,62,0,här
15,63,0,kammaren
15,147,3,utan
15,148,1,också
15,149,0,press
15,43,0,och
15,6,1,massmedia
15,26,0,just
15,62,0,här
15,150,0,frågorna
15,151,0,jag
15,152,0,tyckte
15,17,3,det
15,153,0,var
15,154,0,väsentligt
16,44,3,som
16,155,3,kommer
16,0,3,att
16,156,3,föras
16,51,3,måste
16,6,2,massmedia
16,43,3,och
16,43,2,och
16,157,3,diskuteras
16,148,3,också
16,96,3,andra
16,158,2,arbetsplatser
16,159,1,vad
17,160,4,reportrar
17,161,0,självklarhet
17,162,4,lika
17,128,1,väl
17,44,4,som
17,163,4,manliga
17,164,4,men
17,165,4,ändå
17,166,2,speglar
17,6,4,massmedia
17,167,4,själva
17,134,2,ofta
17,23,4,ett
17,168,4,större
17,169,0,utsträckning
18,15,1,man
18,170,3,lätt
18,171,1,intrycket
18,0,0,att
18,172,1,kvinna
18,173,2,sällan
18,6,1,massmedia
18,49,0,har
18,174,1,viktig
18,175,0,uppgift
18,0,1,att
18,176,1,påverka
18,177,0,opinionen
18,43,2,och
18,15,1,man
18,32,0,kan
19,32,2,kan
19,178,2,förvänta
19,71,2,sig
19,179,2,anser
19,151,2,jag
19,0,2,att
19,1,2,för
19,6,2,massmedia
19,180,0,speciellt
19,17,2,det
19,62,2,här
19,181,2,området
19,182,2,naturligtvis
19,183,2,skall
19,15,2,man
20,184,3,gör
20,0,4,att
20,185,3,försöka
20,6,0,massmedia
20,21,3,framför
20,22,3,allt
20,92,4,den
20,186,3,största
20,17,3,det
20,187,0,inget
20,188,3,nytt
21,12,3,med
21,159,1,vad
21,44,2,som
21,1,2,för
21,189,2,dagen
21,155,3,kommer
21,190,2,fram
21,6,1,massmedia
21,191,2,tycker
21,151,2,jag
21,34,1,inte
21,15,1,man
21,183,2,skall
21,192,1,kritisera
21,96,3,andra
21,1,2,för
21,193,1,brist
22,194,2,lag
22,195,2,vård
22,196,2,unga
22,197,2,trots
22,27,2,detta
22,198,1,utvecklas
22,6,1,massmedia
22,199,2,kritik
22,44,1,som
22,200,1,helt
22,201,2,saknar
22,202,4,förslaget
22,203,4,säger
22,15,1,man
23,27,1,detta
23,204,1,får
23,15,1,man
23,205,0,kanske
23,206,1,något
23,207,0,annan
23,208,1,bild
23,92,1,den
23,6,1,massmedia
23,209,1,ger
23,6,2,massmedia
23,15,1,man
23,164,0,men
23,44,0,som
23,151,0,jag
24,205,0,kanske
24,206,0,något
24,207,4,annan
24,208,0,bild
24,92,0,den
24,6,0,massmedia
24,209,1,ger
24,6,0,massmedia
24,15,0,man
24,164,0,men
24,44,0,som
24,151,4,jag
24,210,1,nämnde
24,211,1,tidigare
25,92,2,den
25,212,1,nya
25,213,0,lagstiftningen
25,17,4,det
25,49,4,har
25,97,0,del
25,5,4,uppgifter
25,6,1,massmedia
25,43,1,och
25,151,1,jag
25,49,1,har
25,211,4,tidigare
25,214,4,frågat
25,215,1,karin
25,216,2,hennes
25,217,0,inställning
26,80,1,följt
26,104,1,debatten
26,105,2,kring
26,92,2,den
26,212,3,nya
26,218,2,tidningar
26,43,4,och
26,96,2,andra
26,6,1,massmedia
26,49,4,har
26,15,3,man
26,170,3,lätt
26,86,1,kunnat
26,171,2,intrycket
26,0,1,att
26,219,2,sker
27,15,2,man
27,170,1,lätt
27,220,2,bort
27,180,2,speciellt
27,92,1,den
27,47,2,senaste
27,6,2,massmedia
27,221,2,barn
27,49,2,har
27,200,4,helt
27,17,1,det
27,222,4,faktum
28,223,1,bättre
28,224,2,sätt
28,0,2,att
28,92,1,den
28,225,4,svenska
28,226,4,riksdagen
28,227,1,full
28,228,3,offentlighet
28,46,1,under
28,229,0,massmediernas
28,230,0,bevakning
28,43,3,och
28,46,1,under
28,231,1,ganska
28,230,4,bevakning
29,232,3,organ
